開催年,開催日付,競馬場コード,開催回次,開催日目,レース番号,枠番,馬番,血統番号,馬名,性別,毛色コード,馬齢,東西所属コード,斤量,騎手コード,着順,走破タイム,着差,距離,芝ダート,回り方向,出走頭数,開催年_1走前,開催日付_1走前,競馬場コード_1走前,馬番_1走前,斤量_1走前,騎手コード_1走前,馬体重_1走前,着順_1走前,1コーナー順位_1走前,2コーナー順位_1走前,3コーナー順位_1走前,4コーナー順位_1走前,ラスト3Fタイム_1走前,着差_1走前,距離_1走前,芝ダート_1走前,回り方向_1走前,出走頭数_1走前,天気コード_1走前,芝馬場_1走前,ダート馬場_1走前
2019,309,6,2,5,11,1,1,2013106072,アドマイヤリード,2,5,6,2,560,660,0,0,0,1800,s,R,0,2019.0,105.0,6.0,2.0,560.0,660.0,430.0,4.0,4.0,3.0,4.0,4.0,352.0,1.0,2000.0,,R,16.0,1.0,1.0,0.0
2019,309,6,2,5,11,2,2,2015104765,ノームコア,2,7,4,1,550,1075,0,0,0,1800,s,R,0,2019.0,126.0,7.0,11.0,550.0,5339.0,468.0,2.0,9.0,10.0,10.0,10.0,335.0,1.0,2000.0,,L,14.0,1.0,1.0,0.0
2019,309,6,2,5,11,3,3,2014101058,カワキタエンカ,2,3,5,2,540,1032,0,0,0,1800,s,R,0,2018.0,1215.0,6.0,15.0,550.0,1032.0,466.0,14.0,0.0,1.0,1.0,1.0,364.0,7.0,1600.0,,R,16.0,1.0,1.0,0.0
2019,309,6,2,5,11,3,4,2013105336,アッフィラート,2,3,6,2,510,1169,0,0,0,1800,s,R,0,2019.0,119.0,6.0,4.0,550.0,1043.0,448.0,2.0,9.0,9.0,10.0,10.0,338.0,2.0,1800.0,,R,14.0,1.0,1.0,0.0
2019,309,6,2,5,11,4,5,2013102955,クロコスミア,2,4,6,2,550,5203,0,0,0,1800,s,R,0,2018.0,1111.0,8.0,9.0,560.0,5203.0,436.0,2.0,1.0,1.0,1.0,1.0,347.0,0.0,2200.0,,R,17.0,1.0,1.0,0.0
2019,309,6,2,5,11,4,6,2015110077,ランドネ,2,3,4,2,530,5386,0,0,0,1800,s,R,0,2019.0,126.0,7.0,8.0,530.0,5386.0,512.0,3.0,1.0,1.0,1.0,1.0,344.0,1.0,2000.0,,L,14.0,1.0,1.0,0.0
2019,309,6,2,5,11,5,7,2013103682,フロンテアクイーン,2,3,6,1,540,1122,0,0,0,1800,s,R,0,2018.0,1215.0,6.0,13.0,550.0,5575.0,474.0,4.0,0.0,3.0,2.0,2.0,358.0,2.0,1600.0,,R,16.0,1.0,1.0,0.0
2019,309,6,2,5,11,5,8,2013103582,レイホーロマンス,2,3,6,2,510,422,0,0,0,1800,s,R,0,2019.0,126.0,7.0,2.0,520.0,1116.0,428.0,7.0,11.0,11.0,10.0,10.0,339.0,5.0,2000.0,,L,14.0,1.0,1.0,0.0
2019,309,6,2,5,11,6,9,2015104671,ウラヌスチャーム,2,4,4,1,530,5517,0,0,0,1800,s,R,0,2019.0,126.0,7.0,9.0,530.0,1102.0,500.0,4.0,5.0,6.0,5.0,6.0,339.0,2.0,2000.0,,L,14.0,1.0,1.0,0.0
2019,309,6,2,5,11,6,10,2013106329,デンコウアンジュ,2,4,6,2,540,663,0,0,0,1800,s,R,0,2018.0,1215.0,6.0,6.0,550.0,641.0,462.0,3.0,0.0,13.0,15.0,15.0,343.0,1.0,1600.0,,R,16.0,1.0,1.0,0.0
2019,309,6,2,5,11,7,11,2014106151,フローレスマジック,2,3,5,1,530,1077,0,0,0,1800,s,R,0,2018.0,1215.0,6.0,5.0,540.0,5339.0,480.0,11.0,0.0,13.0,11.0,11.0,348.0,4.0,1600.0,,R,16.0,1.0,1.0,0.0
2019,309,6,2,5,11,7,12,2013101453,ウインファビラス,2,7,6,1,520,1085,0,0,0,1800,s,R,0,2019.0,113.0,6.0,2.0,540.0,1009.0,480.0,8.0,0.0,4.0,5.0,5.0,357.0,7.0,1600.0,,R,14.0,1.0,1.0,0.0
2019,309,6,2,5,11,8,13,2015103383,ミッキーチャーム,2,3,4,2,550,1088,0,0,0,1800,s,R,0,2018.0,1014.0,8.0,13.0,550.0,1088.0,452.0,2.0,1.0,1.0,1.0,1.0,354.0,2.0,2000.0,,R,17.0,1.0,1.0,0.0
2019,309,6,2,5,11,8,14,2013105322,ワンブレスアウェイ,2,4,6,1,540,1092,0,0,0,1800,s,R,0,2019.0,126.0,7.0,5.0,540.0,1092.0,496.0,1.0,4.0,4.0,4.0,4.0,339.0,-1.0,2000.0,,L,14.0,1.0,1.0,0.0
